Genre,Color
Classic Danish Pop,#FFC300
Classic Dutch Pop,#FFC300
Classic Eurovision,#26D8A9
Classic Finnish Pop,#FFC300
Classic Finnish Rock,#FF4500
Classic French Pop,#FFC300
Classic Funk Rock,#FF4500
Classic Garage Rock,#FF4500
Classic Italian Pop,#FFC300
Classic Norwegian Pop,#FFC300
Classic Peruvian Pop,#FFC300
Classic Polish Pop,#FFC300
Classic Psychedelic Rock,#FF4500
Classic Rock,#FF4500
Classic Russian Pop,#FFC300
Classic Russian Rock,#FF4500
Classic Schlager,#B5D826
Classic Soundtrack,#26D882
Classic Swedish Pop,#FFC300
Classic Turkish Pop,#FFC300
Classic Venezuelan Pop,#FFC300
Classical,#ADD8E6
Classical Christmas,#ADD8E6
Classical Flute,#ADD8E6
Classical Guitar,#ADD8E6
Classical Organ,#ADD8E6
Classical Performance,#ADD8E6
Classical Period,#ADD8E6
Classical Piano,#ADD8E6
College A Cappella,#2679D8
College Marching Band,#26C6D8
Colombian Rock,#FF4500
Columbus Ohio Indie,#FF69B4
Comedy,#2658D8
Comedy Rock,#FF4500
Comic,#5826D8
Commons,#262CD8
Complextro,#26D82F
Composition D,#2691D8
Concert Piano,#70D826
Consort,#D89726
Contemporary Classical,#ADD8E6
Contemporary Country,#D2691E
Contemporary Folk,#DAA520
Contemporary Jazz,#8A2BE2
Contemporary Post-bop,#7626D8
Cool Jazz,#8A2BE2
Corrosion,#26D8CF
Corsican Folk,#DAA520
Country,#D2691E
Country Blues,#1E90FF
Country Christmas,#D2691E
Country Dawn,#D2691E
Country Gospel,#D2691E
Country Road,#D2691E
Country Rock,#FF4500
Coupe Decale,#CF26D8
Coverchill,#D226D8
Covertrance,#20B2AA
Cowboy Western,#26A3D8
Cowpunk,#FF0000
Crack Rock Steady,#FF4500
Croatian Pop,#FFC300
Crossover Prog,#7FD826
Crossover Thrash,#A026D8
Crunk,#73D826
Crust Punk,#FF0000
Cryptic Black Metal,#555555
Cuban Rumba,#D82641
Cubaton,#26D8D8
Cumbia,#58D826
Cumbia Funk,#8B4513
Cumbia Sonidera,#2FD826
Cumbia Villera,#CF26D8
Cyber Metal,#555555
Czech Folk,#DAA520
Czech Rock,#FF4500
Dallas Indie,#FF69B4
Dance Pop,#FFC300
Dance Rock,#FF4500
Dance-punk,#FF0000
Dancehall,#D8263E
Dangdut,#9426D8
Danish Hip Hop,#9400D3
Danish Indie,#FF69B4
Danish Jazz,#8A2BE2
Danish Pop,#FFC300
Danish Pop Rock,#FF4500
Dansband,#D83B26
Danseband,#26A6D8
Dansktop,#26D8A0
Dark Ambient,#7FFFD4
Dark Black Metal,#555555
Dark Cabaret,#67D826
Dark Electro-industrial,#2632D8
Dark Hardcore,#D8CF26
Dark Jazz,#8A2BE2
Dark Minimal Techno,#00FFFF
Dark Progressive House,#FFA07A
Dark Psytrance,#20B2AA
Dark Wave,#AF26D8
Darkstep,#26D846
Death Core,#D8264F
Death Metal,#555555
Deathgrind,#D8269D
Deep Acoustic Pop,#FFC300
Deep Adult Standards,#85D826
Deep Alternative R&b,#D826A0
Deep Ambient,#7FFFD4
Deep Baroque,#D526D8
Deep Brazilian Pop,#FFC300
Deep Breakcore,#41D826
Deep Canadian Indie,#FF69B4
Deep Ccm,#82D826
Deep Cello,#26D852
Deep Chill,#C026D8
Deep Chill-out,#26D89D
Deep Christian Rock,#FF4500
Deep Classic Garage Rock,#FF4500
Deep Classical Piano,#ADD8E6
Deep Comedy,#D826BD
Deep Contemporary Country,#D2691E
Deep Dance Pop,#FFC300
Deep Darkpsy,#3226D8
Deep Deep House,#FFA07A
Deep Deep Tech House,#FFA07A
Deep Delta Blues,#1E90FF
Deep Disco,#26D838
Deep Disco House,#FFA07A
Deep Discofox,#D82685
Deep Downtempo Fusion,#26D8D2
Deep Dub Techno,#00FFFF
Deep East Coast Hip Hop,#9400D3
Deep Euro House,#FFA07A
Deep Eurodance,#4326D8
Deep Filthstep,#D8D526
Deep Flow,#D89A26
Deep Folk Metal,#555555
Deep Free Jazz,#8A2BE2
Deep Freestyle,#26D8C3
Deep Full On,#2CD826
Deep Funk,#8B4513
Deep Funk House,#8B4513
Deep G Funk,#8B4513
Deep German Indie,#FF69B4
Deep German Punk,#FF0000
Deep Gothic Post-punk,#FF0000
Deep Happy Hardcore,#26D87C
Deep Hardcore,#D82649
Deep Hardcore Punk,#FF0000
Deep Hardstyle,#B8D826
Deep House,#FFA07A
Deep Indian Pop,#FFC300
Deep Indie Pop,#FFC300
Deep Indie Rock,#FF4500
Deep Indie Singer-songwriter,#FF69B4
Deep Italo Disco,#6DD826
Deep Jazz Fusion,#8A2BE2
Deep Jazz Guitar,#8A2BE2
Deep Jazz Piano,#8A2BE2
Deep Latin Alternative,#FF6347
Deep Liquid,#5226D8
Deep Liquid Bass,#D826A9
Deep Melodic Death Metal,#555555
Deep Melodic Hard Rock,#FF4500
Deep Melodic House,#FFA07A
Deep Melodic Metalcore,#555555
Deep Minimal Techno,#00FFFF
Deep Motown,#26D8C9
Deep Neo-synthpop,#FFC300
Deep Neofolk,#DAA520
Deep New Wave,#D86A26
Deep Nordic Folk,#DAA520
Deep Northern Soul,#9932CC
Deep Opera,#8BD826
Deep Orchestral,#A0D826
Deep Orgcore,#D8BD26
Deep Pop Emo,#FFC300
Deep Pop Punk,#FFC300
Deep Power-pop Punk,#FFC300
Deep Progressive House,#FFA07A
Deep Progressive Trance,#20B2AA
Deep Psychobilly,#D8268E
Deep Psytrance,#20B2AA
Deep Punk Rock,#FF4500
Deep Ragga,#26BAD8
Deep Rai,#26D83B
Deep Regional Mexican,#6126D8
Deep Smooth Jazz,#8A2BE2
Deep Soft Rock,#FF4500
Deep Soul House,#9932CC
Deep Soundtrack,#9A26D8
